,Date,Open,High,Low,Close
60,2018-04-02,33030.87,33289.34,32997.88,33255.36
61,2018-04-03,33197.42,33402.94,33153.83,33370.63
62,2018-04-04,33437.52,33505.53,32972.56,33019.07
63,2018-04-05,33289.96,33637.46,33267.86,33596.8
64,2018-04-06,33608.59,33697.51,33501.37,33626.97
65,2018-04-09,33653.61,33846.5,33578.91,33788.54
66,2018-04-10,33880.11,33949.98,33813.3,33880.25
67,2018-04-11,33970.35,33981.54,33750.74,33940.44
68,2018-04-12,33987.55,34177.44,33924.88,34101.13
69,2018-04-13,34167.53,34313.14,34103.53,34192.65
70,2018-04-16,33944.73,34341.46,33899.34,34305.43
71,2018-04-17,34381.8,34434.14,34229.83,34395.06
72,2018-04-18,34443.42,34591.81,34270.04,34331.68
73,2018-04-19,34403.67,34478.82,34358.91,34427.29
74,2018-04-20,34434.14,34487.33,34311.29,34415.58
75,2018-04-23,34493.69,34663.95,34259.27,34450.77
76,2018-04-24,34491.38,34706.71,34465.49,34616.64
77,2018-04-25,34593.17,34631.27,34400.56,34501.27
78,2018-04-26,34532.95,34747.97,34505.62,34713.6
79,2018-04-27,34747.04,35065.37,34744.73,34969.7
80,2018-04-30,35021.2,35213.3,35004.0,35160.36
81,2018-05-02,35328.91,35357.15,35072.42,35176.42
82,2018-05-03,35257.31,35257.31,35020.08,35103.14
83,2018-05-04,35144.96,35206.55,34847.61,34915.38
84,2018-05-07,34983.59,35259.81,34977.74,35208.14
85,2018-05-08,35349.85,35388.87,35136.01,35216.32
86,2018-05-09,35198.08,35404.83,35134.2,35319.35
87,2018-05-10,35353.96,35500.76,35203.85,35246.27
88,2018-05-11,35287.99,35596.15,35262.06,35535.79
89,2018-05-14,35555.83,35642.72,35456.56,35556.71
90,2018-05-15,35537.85,35993.53,35497.92,35543.94
91,2018-05-16,35452.35,35543.89,35241.63,35387.88
92,2018-05-17,35483.62,35510.01,35087.82,35149.12
93,2018-05-18,35143.59,35163.11,34821.62,34848.3
94,2018-05-21,34873.16,34973.95,34593.82,34616.13
95,2018-05-22,34601.49,34754.6,34550.22,34651.24
96,2018-05-23,34656.63,34668.47,34302.89,34344.91
97,2018-05-24,34404.14,34741.46,34367.83,34663.11
98,2018-05-25,34753.47,35017.93,34700.52,34924.87
99,2018-05-28,35074.32,35240.96,35006.5,35165.48
100,2018-05-29,35213.14,35234.14,34922.18,34949.24
101,2018-05-30,34876.13,35017.45,34735.11,34906.11
102,2018-05-31,35083.81,35416.03,34926.08,35322.38
103,2018-06-01,35373.98,35438.22,35177.35,35227.26
